game,game_id,hours_watched,airtime_hours,peak_viewers,peak_channels,unique_channels,average_viewers,average_channels
"Fortnite","37030","139809891","7323209","4155423","159099","1480990","187916.52016129033","9843.022849462366"
"Special events","0","14616191","60649","2075797","6902","0","19645.418010752688","81.51747311827957"
"Cyberpunk 2077","38456","74074879","2676832","1489212","36369","373694","99563.00940860216","3597.8924731182797"
"Minecraft","30475","112458787","2825911","1385983","7344","648018","151154.28360215054","3798.2674731182797"
"Just Chatting","0","246945389","3063603","1116754","8646","0","331915.84543010755","4117.745967741936"
"Among Us","70938","89662049","1003755","920457","3638","356397","120513.5067204301","1349.133064516129"
"Garena Free Fire","65194","110916529","720383","896073","1595","159917","149081.3561827957","968.2567204301075"
"PUBG Mobile","67843","122649057","1010515","789015","2593","234080","164850.88306451612","1358.2190860215053"
"Call of Duty: Black Ops III","48754","4198999","130392","701491","492","49119","5643.815860215053","175.25806451612902"
"FIFA 21","79149","52529199","938795","686934","3790","186539","70603.7620967742","1261.8212365591398"
"Mobile Legends: Bang Bang","56894","46011624","703085","628502","2256","153933","61843.58064516129","945.0067204301075"
"Disney infinity 3.0","0","306233","521","619674","218","561","411.60349462365593","0.7002688172043011"
"Arena of Valor","61339","24350846","95088","599751","366","14412","32729.63172043011","127.80645161290323"
"Grand Theft Auto V","36765","110703856","2109354","589219","7414","386446","148795.50537634408","2835.1532258064517"
"Counter-Strike: Global Offensive","36113","75111766","1552572","586376","4346","267168","100956.6747311828","2086.7903225806454"
"Dance Central","31705","432431","63","480318","13","44","581.2244623655914","0.0846774193548387"
"World of Warcraft","19783","91473323","2381325","477734","11509","145129","122948.01478494624","3200.7056451612902"
"League of Legends","24024","110961961","3446514","467626","8469","359915","149142.42069892472","4632.4112903225805"
"Escape From Tarkov","53106","58178306","1031371","466755","3858","60138","78196.64784946236","1386.2513440860216"
"Rust","42984","21237750","283459","410864","999","37658","28545.362903225807","380.9932795698925"
"Call of Duty: Warzone","77550","76990335","2932108","403028","9721","262778","103481.63306451614","3941.005376344086"
"Apex Legends","72014","49335784","2997334","392008","7358","382023","66311.5376344086","4028.6747311827958"
"No Man's Sky","44656","557032","39829","391911","322","9320","748.6989247311828","53.53360215053763"
"Valorant","77445","48161713","2452855","381622","5981","328287","64733.48521505376","3296.84811827957"
"Super Smash Bros. Ultimate","66900","5107337","181389","373422","1652","23946","6864.700268817204","243.80241935483872"
"Dota 2","32887","57665423","841060","359453","2091","67751","77507.28897849462","1130.4569892473119"
"Fall Guys: Ultimate Knockout","73776","7459236","277214","358071","1352","100783","10025.854838709678","372.5994623655914"
"Roblox","25462","8217768","349543","302238","852","129619","11045.387096774193","469.81586021505376"
"Brawl Stars","59984","9768114","134245","301332","462","47528","13129.185483870968","180.43682795698925"
"Phasmophobia","79109","8266896","664364","295846","2549","147576","11111.41935483871","892.9623655913979"
"Five Nights at Freddy's","47425","1608960","20079","293923","109","15989","2162.5806451612902","26.987903225806452"
"Just Cause 3","48207","467021","18086","279553","189","7738","627.7163978494624","24.309139784946236"
"Ori and the Blind Forest","46548","1033950","18972","276085","70","5012","1389.717741935484","25.5"
"Skribbl.io","59462","936886","24288","264545","159","15777","1259.255376344086","32.645161290322584"
"Mario Kart 8","42929","6376620","52039","251594","250","12434","8570.725806451614","69.94489247311827"
"Fate/Grand Order","51422","1160627","19255","244185","130","2061","1559.9825268817203","25.88037634408602"
"Back 4 Blood","72499","2723723","24118","237567","1431","8421","3660.918010752688","32.416666666666664"
"Rocket League","34407","24528952","1805871","211856","4960","572071","32969.021505376346","2427.2459677419356"
"Disney Infinity","40912","108341","265","208180","270","344","145.61962365591398","0.35618279569892475"
"NBA 2K21","78964","6603958","557490","201261","1675","104007","8876.287634408602","749.3145161290323"
"Raft","57574","4993219","108873","198768","491","23643","6711.315860215053","146.33467741935485"
"PlayerUnknown's Battlegrounds","54979","17788160","919465","196324","2041","105998","23908.817204301075","1235.840053763441"
"Music","0","20994066","767425","188829","2862","77290","28217.83064516129","1031.4852150537633"
"Hearthstone","42033","26598953","199565","181484","514","22215","35751.280913978495","268.23252688172045"
"Call of Duty: Black Ops - Cold War","73518","21946413","2603446","179186","7762","441435","29497.86693548387","3499.255376344086"
"Genshin Impact","73982","16222564","723502","176461","3675","107064","21804.521505376346","972.4489247311828"
"Sports","0","6327129","43568","175870","152","17464","8504.20564516129","58.55913978494624"
"Ultimate Chicken Horse","50561","134197","3632","171207","34","2292","180.372311827957","4.881720430107527"
"Adopt me!","0","1119966","5450","169401","84","987","1505.3306451612902","7.325268817204301"
"Granblue Fantasy","49717","2412838","12155","169135","83","1293","3243.0618279569894","16.337365591397848"
"Street Fighter V","48320","3878351","93828","167730","484","22906","5212.837365591397","126.11290322580645"
"League of Legends: Wild Rift","75710","5747039","136792","163458","639","29608","7724.514784946236","183.86021505376345"
"Dead by Daylight","52693","24489479","1220459","160999","3423","139720","32915.966397849465","1640.40188172043"
"Golf With Your Friends","52572","1463541","18328","156460","97","8760","1967.125","24.634408602150536"
"Scribble It!","74600","459747","4321","146064","32","2605","617.9395161290323","5.807795698924731"
"ArcheAge","34413","1262154","28171","144301","144","8616","1696.4435483870968","37.86424731182796"
"Eventos especiales","0","10411","56","140652","16","90","13.993279569892474","0.07526881720430108"
"Call of Duty: Mobile","73590","8103253","446290","134507","1159","107658","10891.469086021505","599.8521505376344"
"Art","0","9065280","542062","133162","1115","0","12184.516129032258","728.5779569892474"
"Marvel's Spider-Man: Miles Morales","78950","1273912","94149","130409","395","32374","1712.247311827957","126.54435483870968"
"Pokemon ruby and sapphire","0","711404","133","129040","8","55","956.1881720430108","0.17876344086021506"
"DayZ","39256","9290974","260601","126563","725","31237","12487.868279569893","350.27016129032256"
"Madden NFL 21","78343","3365489","252313","123781","929","49064","4523.506720430108","339.130376344086"
"Jackbox party packs","0","3023895","61803","118435","381","18542","4064.375","83.06854838709677"
"World of Tanks","30567","16729878","273550","117685","834","23335","22486.395161290322","367.6747311827957"
"False","0","569370","3167","117338","710","9536","765.2822580645161","4.256720430107527"
"Pinturillo 2","59079","190564","5797","115945","40","4834","256.13440860215053","7.791666666666667"
"Call of Duty: Modern Warfare","73517","15360062","4203182","115927","11677","625278","20645.244623655915","5649.438172043011"
"Cuphead","44945","1155271","43119","114500","167","16185","1552.7836021505377","57.95564516129032"
"Immortals fenyx rising","0","4099651","112586","113914","802","16997","5510.283602150537","151.3252688172043"
"Overwatch","48190","14276501","872610","111507","2346","143097","19188.845430107525","1172.8629032258063"
"Aim Gods","77855","2910787","18278","109261","572","4922","3912.34811827957","24.567204301075268"
"Slender: The Eight Pages","39028","256027","401","108373","18","356","344.122311827957","0.5389784946236559"
"Demon's Souls","24057","4151223","106029","108337","446","18366","5579.600806451613","142.51209677419354"
"Outlast","40089","631018","29282","108208","140","13176","848.1424731182796","39.35752688172043"
"Chess","0","12049510","76083","107865","214","15271","16195.577956989247","102.26209677419355"
"Project Winter","70599","565918","8427","107523","55","1775","760.6424731182796","11.326612903225806"
"Poker","488190","5545056","82023","106559","337","6474","7453.032258064516","110.24596774193549"
"Assassin's Creed III","37494","1860630","6619","105089","41","2166","2500.8467741935483","8.896505376344086"
"Slots","0","15920829","89206","104110","228","0","21398.96370967742","119.90053763440861"
"Eternal return: black survival","0","8742399","148253","101743","591","13555","11750.536290322581","199.26478494623655"
"Golf It!","58340","1340692","7423","100925","52","3335","1802.005376344086","9.977150537634408"
"Puzzle & Dragons","41878","426221","2461","99282","34","346","572.877688172043","3.307795698924731"
"Who's Your Daddy","51968","113961","466","99067","11","523","153.1733870967742","0.6263440860215054"
"Uno","12083","414586","12574","97650","77","8592","557.239247311828","16.900537634408604"
"Detroit: Become Human","51351","888976","32565","96814","119","7830","1194.8602150537633","43.770161290322584"
"MapleStory","21958","4588020","110484","96714","480","9009","6166.693548387097","148.5"
"Pummel Party","70267","1108711","27126","96566","213","9836","1490.2029569892472","36.45967741935484"
"Mission Against Terror","40582","2095341","20599","96438","262","9259","2816.3185483870966","27.686827956989248"
"Family Feud","26419","167707","1275","96336","15","605","225.41263440860214","1.7137096774193548"
"Clubhouse Games: 51 Worldwide Classics","77760","819608","1080","94377","18","431","1101.6236559139784","1.4516129032258065"
"Spellbreak","70330","1839283","42845","93388","237","14293","2472.1545698924733","57.58736559139785"
"GeoGuessr","42750","1280884","13876","92749","86","3792","1721.6182795698924","18.650537634408604"
"Tom Clancy's Rainbow Six Siege","46562","12224859","1117878","92488","2809","243749","16431.262096774193","1502.524193548387"
"StarCraft","13062","3870391","27227","91795","98","2216","5202.138440860215","36.59543010752688"
"In Silence","80957","411181","14700","91039","82","7177","552.6626344086021","19.758064516129032"
"Food & Drink","0","2219273","41780","91026","137","0","2982.8938172043013","56.155913978494624"
"Who Wants To Be A Millionaire","323","1229077","663","90693","11","392","1651.9852150537633","0.8911290322580645"
"F1 2020","78090","1906977","103823","89420","762","23151","2563.141129032258","139.5470430107527"
"The Game of Life 2","81170","290452","774","88322","13","458","390.39247311827955","1.0403225806451613"
