game,game_id,hours_watched,airtime_hours,peak_viewers,peak_channels,unique_channels,average_viewers,average_channels
"League of Legends","24024","237672391","3557313","4147227","9011","349929","319452.1384408602","4781.334677419355"
"Among Us","70938","186599746","2277452","1866374","9800","604198","250806.11021505378","3061.0913978494623"
"Mobile Legends: Bang Bang","56894","50210596","260399","1500108","2063","70978","67487.36021505376","349.9986559139785"
"Minecraft","30475","109818485","1856118","1392408","4988","436514","147605.49059139786","2494.782258064516"
"Super Smash Bros. Ultimate","66900","5991865","175011","798549","2455","21484","8053.581989247312","235.2298387096774"
"Brawl Stars","59984","10853836","94940","773160","313","18554","14588.489247311827","127.60752688172043"
"Garena Free Fire","65194","128238776","506905","739998","1503","95388","172363.94623655913","681.3239247311828"
"PUBG Mobile","67843","98163768","553013","706377","2423","94949","131940.5483870968","743.2970430107526"
"Just Chatting","0","203121890","2762375","702831","6873","578770","273013.2930107527","3712.869623655914"
"Counter-Strike: Global Offensive","36113","78730439","1269020","692073","3322","217642","105820.48252688172","1705.6720430107528"
"FIFA 21","79149","75256318","1115631","691500","4064","166120","101150.96505376344","1499.5040322580646"
"Fortnite","37030","120695491","6041134","660533","16111","1169131","162225.12231182796","8119.80376344086"
"Special Events","0","21837213","33761","653313","317","14508","29351.092741935485","45.37768817204301"
"Call of Duty: Modern Warfare","73517","96894484","7292234","592401","24236","857180","130234.52150537634","9801.389784946237"
"Grand Theft Auto V","36765","95294455","1527684","550909","4401","229524","128083.94489247311","2053.3387096774195"
"Phasmophobia","79109","53432924","1915525","430735","9302","272136","71818.44623655915","2574.630376344086"
"Cyberpunk 2077","38456","403565","3136","414932","309","602","542.4260752688172","4.21505376344086"
"Call of Duty: Black Ops - Cold War","73518","11975881","501981","408821","9455","126097","16096.614247311827","674.7056451612904"
"Fall Guys: Ultimate Knockout","73776","17810337","511365","403182","3123","198737","23938.625","687.3185483870968"
"The Dark Pictures Anthology: Little Hope","75036","4361967","41278","402679","2222","11836","5862.8588709677415","55.48118279569893"
"Monster Strike","48101","2879021","6184","391347","59","437","3869.65188172043","8.311827956989248"
"Watch Dogs: Legion","73709","6566999","96699","380446","2786","27732","8826.611559139785","129.97177419354838"
"Arena of Valor","61339","18099919","71993","357309","376","7043","24327.84811827957","96.76478494623656"
"Talk Shows & Podcasts","0","6326676","134339","333780","410","26580","8503.59677419355","180.56317204301075"
"Pokemon box: ruby & sapphire","0","659348","4","305690","2","2","886.2204301075269","0.005376344086021506"
"Amnesia: Rebirth","77508","4406488","66263","303916","1220","13605","5922.698924731183","89.06317204301075"
"Rocket League","34407","23518719","1309048","301381","3693","574818","31611.1814516129","1759.47311827957"
"Pikmin 3","27930","510272","5309","298192","217","1870","685.8494623655914","7.135752688172043"
"Music","0","20190043","724709","295236","1929","68288","27137.154569892475","974.0712365591398"
"Dota 2","32887","45718690","789963","266705","2133","55701","61449.852150537634","1061.7782258064517"
"Pod","49285","305131","13","263237","3","11","410.122311827957","0.01747311827956989"
"Genshin Impact","73982","40321132","2024984","258613","6193","283003","54195.06989247312","2721.7526881720432"
"Overwatch","48190","15384802","856571","254793","2643","144386","20678.497311827956","1151.3051075268818"
"DayZ","39256","3900572","208348","254261","556","24196","5242.704301075269","280.0376344086022"
"Roblox","25462","9652053","288841","253675","837","89832","12973.189516129032","388.22715053763443"
"Super Smash Bros. for Wii U/Nintendo 3DS","35573","699388","9345","235411","106","1864","940.0376344086021","12.560483870967742"
"World of Warcraft","19783","34508159","1165056","225606","3909","95305","46381.93413978495","1565.9354838709678"
"Apex Legends","72014","42191626","2201616","225093","5108","301109","56709.17473118279","2959.1612903225805"
"Minecraft: java edition","0","2333748","70726","220881","3969","40237","3136.7580645161293","95.06182795698925"
"NBA 2K21","78964","10136609","599617","220538","1984","102921","13624.474462365592","805.9368279569892"
"Valorant","77445","42110784","2093589","216106","5729","285324","56600.51612903226","2813.9637096774195"
"Baldur's Gate 3","73727","6101664","128507","209636","1551","18108","8201.161290322581","172.7244623655914"
"Star Wars: Squadrons","78973","2927871","105053","196430","1749","33663","3935.310483870968","141.2002688172043"
"PlayerUnknown's Battlegrounds","54979","20541115","858972","192245","2026","85337","27609.02553763441","1154.532258064516"
"NBA Live 2000","3771","35168","1","191589","1","1","47.26881720430107","0.0013440860215053765"
